Id,Disease,County,Year,Sex,Count,Population,Rate,CI_lower,CI_upper,Recalculated_Rate
92930,Psittacosis,California,2004,Male,1,17785422,0.006,0.0,0.031,0.006
69780,Leprosy,California,2011,Male,6,18691131,0.032,0.012,0.07,0.032
17443,Campylobacteriosis,California,2013,Female,3426,19177344,17.865,17.272000000000002,18.473,17.865
14978,Brucellosis,California,2012,Female,17,19028077,0.08900000000000001,0.052000000000000005,0.14300000000000002,0.089
95359,Q Fever,California,2012,Female,5,19028077,0.026000000000000002,0.009000000000000001,0.061,0.026
74688,Listeriosis,California,2004,Male,56,17785422,0.315,0.23800000000000002,0.409,0.315
24813,Ciguatera Fish Poisoning,California,2002,Male,1,17384620,0.006,0.0,0.032,0.006
136888,Vibrio Infection (non-Cholera),California,2004,Male,104,17785422,0.585,0.478,0.7090000000000001,0.585
123633,Trichinosis,California,2014,Female,1,19346905,0.005,0.0,0.028999999999999998,0.005
79619,Malaria,California,2008,Male,66,18331667,0.36,0.278,0.45799999999999996,0.36
121153,Toxic Shock Syndrome (Non-Streptococcal),California,2011,Male,1,18691131,0.005,0.0,0.03,0.005
2492,Anaplasmosis and Ehrlichiosis,California,2005,Male,1,17899282,0.006,0.0,0.031,0.006
67295,Legionellosis,California,2006,Female,36,18220429,0.198,0.138,0.27399999999999997,0.198
30433,Cryptosporidiosis,California,2008,Female,112,18526603,0.605,0.498,0.727,0.605
7465,"Botulism, Foodborne",California,2006,Female,3,18220429,0.016,0.003,0.048,0.016
14967,Brucellosis,California,2008,Male,10,18331667,0.055,0.026000000000000002,0.1,0.055
45961,Early Syphilis,California,2007,Male,3244,18180620,17.843,17.234,18.468,17.843
121150,Toxic Shock Syndrome (Non-Streptococcal),California,2010,Male,1,18558691,0.005,0.0,0.03,0.005
2482,Anaplasmosis and Ehrlichiosis,California,2002,Female,0,17555714,0.0,0.0,0.021,0.0
19890,Chlamydia,California,2006,Female,97737,18220429,536.414,533.066,539.779,536.414
8,Amebiasis,California,2003,Male,261,17607062,1.482,1.308,1.6740000000000002,1.482
123504,Trichinosis,California,2012,Male,0,18841496,0.0,0.0,0.02,0.0
108644,Shigellosis,California,2007,Female,630,18373955,3.429,3.1660000000000004,3.707,3.429
102745,Rubella,California,2010,Female,1,18752748,0.005,0.0,0.03,0.005
44367,E. coli Other STEC (non-O157),California,2014,Female,187,19346905,0.9670000000000001,0.833,1.115,0.967
123631,Trichinosis,California,2013,Male,1,18988773,0.005,0.0,0.028999999999999998,0.005
72244,Leptospirosis,California,2013,Female,0,19177344,0.0,0.0,0.019,0.0
48454,Giardiasis,California,2012,Female,667,19028077,3.505,3.2439999999999998,3.782,3.505
17428,Campylobacteriosis,California,2008,Female,2522,18526603,13.613,13.087,14.155,13.613
